,FREQ,REF_AREA,SEX,AGE,EDU_LEV_HIGHEST,TIME_PERIOD,OBS_VALUE
114,A,IT,2,Y50-74,13,2023,116.838
115,A,IT,2,Y50-74,13,2024,93.246
116,A,IT,2,Y50-74,7,2023,86.574
117,A,IT,2,Y50-74,7,2024,81.694
118,A,IT,2,Y50-74,99,2023,224.835
119,A,IT,2,Y50-74,99,2024,194.702
120,A,IT,2,Y55-64,99,2023,110.067
121,A,IT,2,Y55-64,99,2024,92.29
122,A,IT,2,Y65-74,99,2023,7.184
123,A,IT,2,Y65-74,99,2024,8.418
124,A,IT,9,Y15-24,99,2023,347.237
125,A,IT,9,Y15-24,99,2024,292.697
126,A,IT,9,Y15-29,99,2023,608.448
127,A,IT,9,Y15-29,99,2024,522.874
128,A,IT,9,Y15-34,11,2023,134.906
129,A,IT,9,Y15-34,11,2024,118.041
130,A,IT,9,Y15-34,13,2023,236.227
131,A,IT,9,Y15-34,13,2024,204.328
132,A,IT,9,Y15-34,7,2023,457.945
133,A,IT,9,Y15-34,7,2024,395.804
134,A,IT,9,Y15-34,99,2023,829.078
135,A,IT,9,Y15-34,99,2024,718.174
136,A,IT,9,Y15-64,11,2023,237.253
137,A,IT,9,Y15-64,11,2024,215.366
138,A,IT,9,Y15-64,13,2023,809.234
139,A,IT,9,Y15-64,13,2024,663.15
140,A,IT,9,Y15-64,7,2023,884.679
141,A,IT,9,Y15-64,7,2024,769.587
142,A,IT,9,Y15-64,99,2023,1931.166
143,A,IT,9,Y15-64,99,2024,1648.103
144,A,IT,9,Y15-74,11,2023,238.702
145,A,IT,9,Y15-74,11,2024,217.241
146,A,IT,9,Y15-74,13,2023,820.084
147,A,IT,9,Y15-74,13,2024,673.5
148,A,IT,9,Y15-74,7,2023,888.083
149,A,IT,9,Y15-74,7,2024,772.828
150,A,IT,9,Y15-74,99,2023,1946.869
151,A,IT,9,Y15-74,99,2024,1663.569
152,A,IT,9,Y25-34,99,2023,481.84
153,A,IT,9,Y25-34,99,2024,425.477
154,A,IT,9,Y35-44,99,2023,419.749
155,A,IT,9,Y35-44,99,2024,357.051
156,A,IT,9,Y35-49,11,2023,72.456
157,A,IT,9,Y35-49,11,2024,69.067
158,A,IT,9,Y35-49,13,2023,301.009
159,A,IT,9,Y35-49,13,2024,233.117
160,A,IT,9,Y35-49,7,2023,273.834
161,A,IT,9,Y35-49,7,2024,234.519
162,A,IT,9,Y35-49,99,2023,647.299
163,A,IT,9,Y35-49,99,2024,536.703
164,A,IT,9,Y45-54,99,2023,433.701
165,A,IT,9,Y45-54,99,2024,364.774
166,A,IT,9,Y50-64,11,2023,29.891
167,A,IT,9,Y50-64,11,2024,28.258
168,A,IT,9,Y50-64,13,2023,271.998
169,A,IT,9,Y50-64,13,2024,225.705
170,A,IT,9,Y50-64,7,2023,152.9
171,A,IT,9,Y50-64,7,2024,139.264
172,A,IT,9,Y50-64,99,2023,454.789
173,A,IT,9,Y50-64,99,2024,393.226
174,A,IT,9,Y50-74,11,2023,31.34
175,A,IT,9,Y50-74,11,2024,30.132
176,A,IT,9,Y50-74,13,2023,282.848
177,A,IT,9,Y50-74,13,2024,236.055
178,A,IT,9,Y50-74,7,2023,156.303
179,A,IT,9,Y50-74,7,2024,142.505
180,A,IT,9,Y50-74,99,2023,470.492
181,A,IT,9,Y50-74,99,2024,408.693
182,A,IT,9,Y55-64,99,2023,248.638
183,A,IT,9,Y55-64,99,2024,208.104
184,A,IT,9,Y65-74,99,2023,15.703
185,A,IT,9,Y65-74,99,2024,15.466
186,A,ITC,1,Y15-24,99,2023,43.231
187,A,ITC,1,Y15-24,99,2024,36.227
188,A,ITC,1,Y15-29,99,2023,65.389
189,A,ITC,1,Y15-29,99,2024,59.972
190,A,ITC,1,Y15-34,11,2023,12.075
191,A,ITC,1,Y15-34,11,2024,11.416
192,A,ITC,1,Y15-34,13,2023,24.451
193,A,ITC,1,Y15-34,13,2024,23.294
194,A,ITC,1,Y15-34,7,2023,43.419
195,A,ITC,1,Y15-34,7,2024,41.046
196,A,ITC,1,Y15-34,99,2023,79.945
197,A,ITC,1,Y15-34,99,2024,75.755
198,A,ITC,1,Y15-64,11,2023,18.809
199,A,ITC,1,Y15-64,11,2024,18.826
200,A,ITC,1,Y15-64,13,2023,71.553
201,A,ITC,1,Y15-64,13,2024,62.02
202,A,ITC,1,Y15-64,7,2023,73.748
203,A,ITC,1,Y15-64,7,2024,72.62
204,A,ITC,1,Y15-64,99,2023,164.11
205,A,ITC,1,Y15-64,99,2024,153.466
206,A,ITC,1,Y15-74,11,2023,18.973
207,A,ITC,1,Y15-74,11,2024,18.826
208,A,ITC,1,Y15-74,13,2023,72.328
209,A,ITC,1,Y15-74,13,2024,62.864
210,A,ITC,1,Y15-74,7,2023,73.994
211,A,ITC,1,Y15-74,7,2024,72.62
212,A,ITC,1,Y15-74,99,2023,165.294
213,A,ITC,1,Y15-74,99,2024,154.31
214,A,ITC,1,Y25-34,99,2023,36.715
215,A,ITC,1,Y25-34,99,2024,39.528
216,A,ITC,1,Y35-44,99,2023,28.371
217,A,ITC,1,Y35-44,99,2024,28.016
218,A,ITC,1,Y35-49,11,2023,4.522
219,A,ITC,1,Y35-49,11,2024,4.079
220,A,ITC,1,Y35-49,13,2023,22.68
221,A,ITC,1,Y35-49,13,2024,18.192
