REF_AREA,MARRIAGE_RITE,TIME_PERIOD,OBS_VALUE,NOTE_REF_AREA
IT110,REL,2018,75.9,FILTER__ITF4
IT110,REL,2019,73.5,FILTER__ITF4
IT110,REL,2020,41.8,FILTER__ITF4
IT110,REL,2021,71.0,FILTER__ITF4
IT110,REL,2022,70.0,FILTER__ITF4
IT110,REL,2023,69.9,FILTER__ITF4
IT111,ALL,2017,100.0,FILTER__ITG2
IT111,ALL,2018,100.0,FILTER__ITG2
IT111,ALL,2019,100.0,FILTER__ITG2
IT111,ALL,2020,100.0,FILTER__ITG2
IT111,ALL,2021,100.0,FILTER__ITG2
IT111,ALL,2022,100.0,FILTER__ITG2
IT111,ALL,2023,100.0,FILTER__ITG2
IT111,CIVIL,2017,51.4,FILTER__ITG2
IT111,CIVIL,2018,54.2,FILTER__ITG2
IT111,CIVIL,2019,59.1,FILTER__ITG2
IT111,CIVIL,2020,77.2,FILTER__ITG2
IT111,CIVIL,2021,65.1,FILTER__ITG2
IT111,CIVIL,2022,61.2,FILTER__ITG2
IT111,CIVIL,2023,64.7,FILTER__ITG2
IT111,REL,2017,48.6,FILTER__ITG2
IT111,REL,2018,45.8,FILTER__ITG2
IT111,REL,2019,40.9,FILTER__ITG2
IT111,REL,2020,22.8,FILTER__ITG2
IT111,REL,2021,34.9,FILTER__ITG2
IT111,REL,2022,38.8,FILTER__ITG2
IT111,REL,2023,35.3,FILTER__ITG2
ITC,ALL,2014,100.0,GENERAL
ITC,ALL,2015,100.0,GENERAL
ITC,ALL,2016,100.0,GENERAL
ITC,ALL,2017,100.0,GENERAL
ITC,ALL,2018,100.0,GENERAL
ITC,ALL,2019,100.0,GENERAL
ITC,ALL,2020,100.0,GENERAL
ITC,ALL,2021,100.0,GENERAL
ITC,ALL,2022,100.0,GENERAL
ITC,ALL,2023,100.0,GENERAL
ITC,CIVIL,2014,54.9,GENERAL
ITC,CIVIL,2015,58.1,GENERAL
ITC,CIVIL,2016,59.8,GENERAL
ITC,CIVIL,2017,62.8,GENERAL
ITC,CIVIL,2018,63.9,GENERAL
ITC,CIVIL,2019,66.8,GENERAL
ITC,CIVIL,2020,79.4,GENERAL
ITC,CIVIL,2021,68.6,GENERAL
ITC,CIVIL,2022,70.1,GENERAL
ITC,CIVIL,2023,72.6,GENERAL
ITC,REL,2014,45.1,GENERAL
ITC,REL,2015,41.9,GENERAL
ITC,REL,2016,40.2,GENERAL
ITC,REL,2017,37.2,GENERAL
ITC,REL,2018,36.1,GENERAL
ITC,REL,2019,33.2,GENERAL
ITC,REL,2020,20.6,GENERAL
ITC,REL,2021,31.4,GENERAL
ITC,REL,2022,29.9,GENERAL
ITC,REL,2023,27.4,GENERAL
ITC1,ALL,2014,100.0,FILTER__ITC1
ITC1,ALL,2015,100.0,FILTER__ITC1
ITC1,ALL,2016,100.0,FILTER__ITC1
ITC1,ALL,2017,100.0,FILTER__ITC1
ITC1,ALL,2018,100.0,FILTER__ITC1
ITC1,ALL,2019,100.0,FILTER__ITC1
ITC1,ALL,2020,100.0,FILTER__ITC1
